unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1.63521E+12,10/26/2021 0:00,ETH/USD,4220.4,4227.4,4206.122,4208.975479,234697.5915,55.76121616
1.63512E+12,10/25/2021 0:00,ETH/USD,4080.1,4233.8,4066.747386,4220.1,100253848.4,23756.27318
1.63503E+12,10/24/2021 0:00,ETH/USD,4167.7,4185,3962.3,4080.4,99766398.74,24450.15164
1.63495E+12,10/23/2021 0:00,ETH/USD,3972.7,4172.3,3941.1,4168.660715,77269318.08,18535.76565
1.63486E+12,10/22/2021 0:00,ETH/USD,4053.7,4165.9,3892.8,3972.9,112006389.4,28192.60224
1.63477E+12,10/21/2021 0:00,ETH/USD,4162.1,4370.3,4015.839804,4054.6,223764584.1,55187.83212
1.63469E+12,10/20/2021 0:00,ETH/USD,3876.5,4170,3828.4,4164.4,133615032.4,32085.06206
1.6346E+12,10/19/2021 0:00,ETH/USD,3745.9,3887,3732.6,3876,76171402.19,19652.06455
1.63452E+12,10/18/2021 0:00,ETH/USD,3845.5,3895,3676.8,3747.8,92532087.97,24689.70809
1.63443E+12,10/17/2021 0:00,ETH/USD,3829.2,3918.9,3641.5,3845.1,100251735.3,26072.59508
1.63434E+12,10/16/2021 0:00,ETH/USD,3870,3973.2,3804.2,3830,96001930.33,25065.77815
1.63426E+12,10/15/2021 0:00,ETH/USD,3791.2,3906.6,3736.5,3869.3,143074953.5,36976.96057
1.63417E+12,10/14/2021 0:00,ETH/USD,3607.7,3823.5,3590.7,3790.521436,100557783,26528.7467
1.63408E+12,10/13/2021 0:00,ETH/USD,3489.8,3613.5,3414.2,3607.5,55308683.17,15331.58231
1.634E+12,10/12/2021 0:00,ETH/USD,3541.6,3548.3,3403.7,3491,70654034.44,20238.9099
1.63391E+12,10/11/2021 0:00,ETH/USD,3414.2,3622.6,3372.1,3544.1,92948910.47,26226.37919
1.63382E+12,10/10/2021 0:00,ETH/USD,3576.4,3603.2,3409,3415.1,74429602.95,21794.2675
1.63374E+12,10/9/2021 0:00,ETH/USD,3563,3637.1,3538.6,3576.5,46099226.88,12889.48046
1.63365E+12,10/8/2021 0:00,ETH/USD,3587.3,3671.6,3533.3,3562.5,96287172.43,27027.97822
1.63356E+12,10/7/2021 0:00,ETH/USD,3576.471228,3654.5,3470.4,3587.3,94096759.88,26230.52432
1.63348E+12,10/6/2021 0:00,ETH/USD,3516.5,3632.69681,3342.3,3576.4,103284646.3,28879.5007
1.63339E+12,10/5/2021 0:00,ETH/USD,3387.6,3546.8,3365.8,3515.7,76899392.82,21873.13844
1.63331E+12,10/4/2021 0:00,ETH/USD,3419.665661,3441.3,3268.4,3385.5,83444316.65,24647.56067
1.63322E+12,10/3/2021 0:00,ETH/USD,3389.3,3490,3344.256288,3419.665661,51078979.26,14936.83428
1.63313E+12,10/2/2021 0:00,ETH/USD,3310.2,3471.7,3261,3389.6,65018074.23,19181.63625
1.63305E+12,10/1/2021 0:00,ETH/USD,3000.5,3330.985534,2969.8,3310.5,123224357.9,37222.28
1.63296E+12,9/30/2021 0:00,ETH/USD,2850.7,3050.6,2838.4,3000.5,87665157.74,29216.84977
1.63287E+12,9/29/2021 0:00,ETH/USD,2806.5,2949.673434,2783.4,2849.738498,83366623.43,29254.13104
1.63279E+12,9/28/2021 0:00,ETH/USD,2927.7,2970,2789.7,2807.7,118545792.9,42221.67359
1.6327E+12,9/27/2021 0:00,ETH/USD,3061.3,3166,2925.1,2928.9,103677690.6,35398.16677
1.63261E+12,9/26/2021 0:00,ETH/USD,2924.5,3117.8,2743.5,3063,180267613,58853.28535
1.63253E+12,9/25/2021 0:00,ETH/USD,2931.8,2968.8,2806.5,2924.3,139793632.8,47804.13529
1.63244E+12,9/24/2021 0:00,ETH/USD,3153.7,3160.87087,2737,2931.7,245207686.2,83640.10173
1.63236E+12,9/23/2021 0:00,ETH/USD,3078.1,3175.6,3034.4,3152.8,88633013.54,28112.47575
1.63227E+12,9/22/2021 0:00,ETH/USD,2766,3089.6,2740,3078,178979189.2,58147.88474
1.63218E+12,9/21/2021 0:00,ETH/USD,2977,3104.604228,2656.9,2766.4,279705459.8,101108.1043
1.6321E+12,9/20/2021 0:00,ETH/USD,3328.642719,3346.1,2924,2977.7,243268521,81696.78646
1.63201E+12,9/19/2021 0:00,ETH/USD,3436.084729,3455.505486,3278.7,3328.4,69452095.16,20866.51098
1.63192E+12,9/18/2021 0:00,ETH/USD,3400.2,3542,3370.8,3436.1,48213235.79,14031.38319
1.63184E+12,9/17/2021 0:00,ETH/USD,3569.8,3595.1,3351.6,3399,78632981.41,23134.15164
1.63175E+12,9/16/2021 0:00,ETH/USD,3614.4,3675,3485,3569.9,144731211.6,40542.09125
1.63166E+12,9/15/2021 0:00,ETH/USD,3436,3616.4,3360.3,3614.9,100264978.8,27736.58437
1.63158E+12,9/14/2021 0:00,ETH/USD,3285,3439.7,3271.3,3436,102144832.2,29727.83243
1.63149E+12,9/13/2021 0:00,ETH/USD,3404.8,3428.8,3109.033937,3285.2,257897523.3,78502.83797
1.6314E+12,9/12/2021 0:00,ETH/USD,3267.3,3471.7,3232.8,3404.7,114270172.1,33562.47895
1.63132E+12,9/11/2021 0:00,ETH/USD,3210.2,3347.5,3200.8,3267.4,69654828.06,21318.12085
1.63123E+12,9/10/2021 0:00,ETH/USD,3425.4,3515.4,3148.141587,3209.8,135847506,42322.73225
1.63115E+12,9/9/2021 0:00,ETH/USD,3500.2,3567.1,3395.087661,3424.3,110329731.8,32219.64542
1.63106E+12,9/8/2021 0:00,ETH/USD,3435.1,3559.4,3218.2,3500.2,210557194.1,60155.76085
1.63097E+12,9/7/2021 0:00,ETH/USD,3927.2,3946.2,3026,3432.5,493491675.7,143770.3352
1.63089E+12,9/6/2021 0:00,ETH/USD,3952.1,3973.2,3882.5,3927.2,197174281.4,50207.344
1.6308E+12,9/5/2021 0:00,ETH/USD,3885.3,3982,3833.8,3952.1,154665225,39134.94724
1.63071E+12,9/4/2021 0:00,ETH/USD,3938.8,3969.8,3835,3884.4,90508090.46,23300.4043
1.63063E+12,9/3/2021 0:00,ETH/USD,3787.6,4027.9,3710,3938.3,226231310.3,57443.89973
1.63054E+12,9/2/2021 0:00,ETH/USD,3826.4,3837,3723.892757,3787.6,132314692.5,34933.64993
1.63045E+12,9/1/2021 0:00,ETH/USD,3431.1,3840.9,3383.9,3827.2,246834396.4,64494.77331
1.63037E+12,8/31/2021 0:00,ETH/USD,3230.7,3474,3191.5,3431.1,196456293.7,57257.5249
1.63028E+12,8/30/2021 0:00,ETH/USD,3225.9,3349,3142.6,3230.883399,94590534.02,29276.98785
1.6302E+12,8/29/2021 0:00,ETH/USD,3246,3289.4,3153,3225.8,65887047.28,20425.02551
1.63011E+12,8/28/2021 0:00,ETH/USD,3275.168672,3286.7,3211.6,3245.8,28279787.64,8712.732652
1.63002E+12,8/27/2021 0:00,ETH/USD,3092.4,3282.2,3061,3276.1,85724062.26,26166.49744
1.62994E+12,8/26/2021 0:00,ETH/USD,3227.6,3252.5,3056,3092.678984,78315206.53,25322.77257
