unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1635638400,10/31/2021 0:00,BCH/USD,585.71,586.51,584.68,584.97,64.62061546,37801.12143
1635552000,10/30/2021 0:00,BCH/USD,595.54,601.4,576.52,585.45,4054.295799,2373587.475
1635465600,10/29/2021 0:00,BCH/USD,579.95,596.8,573.9,593.27,4281.175226,2539892.826
1635379200,10/28/2021 0:00,BCH/USD,548.92,591.97,544.95,578.84,9357.24914,5416350.092
1635292800,10/27/2021 0:00,BCH/USD,611.99,619.08,533.8,548.6,11143.45245,6113298.015
1635206400,10/26/2021 0:00,BCH/USD,621.69,633.07,599.45,611.29,6662.014914,4072423.096
1635120000,10/25/2021 0:00,BCH/USD,617.33,628.35,614.77,621.36,4840.616715,3007765.602
1635033600,10/24/2021 0:00,BCH/USD,629.36,633.22,605.77,617.51,3283.470084,2027575.611
1634947200,10/23/2021 0:00,BCH/USD,624.13,638.18,614.25,629.21,5473.036825,3443689.501
1634860800,10/22/2021 0:00,BCH/USD,623.03,636.96,612.18,624.17,6294.701477,3928963.821
1634774400,10/21/2021 0:00,BCH/USD,644.88,655.88,621.44,625.39,11050.03238,6910579.748
1634688000,10/20/2021 0:00,BCH/USD,618.7,648.9,605,644.72,8103.786802,5224673.427
1634601600,10/19/2021 0:00,BCH/USD,611.28,624.81,599.81,618.35,4366.561768,2700063.469
1634515200,10/18/2021 0:00,BCH/USD,611.44,619.02,598.3,610.8,4428.42823,2704883.963
1634428800,10/17/2021 0:00,BCH/USD,624.23,628.38,589.52,612.04,8184.327873,5009136.031
1634342400,10/16/2021 0:00,BCH/USD,625.23,648.9,623.39,626.04,4637.335286,2903157.382
1634256000,10/15/2021 0:00,BCH/USD,598.17,636.72,585.7,625.21,15328.23743,9583367.322
1634169600,10/14/2021 0:00,BCH/USD,594.06,608.51,590.88,598.7,4934.628263,2954361.941
1634083200,10/13/2021 0:00,BCH/USD,587.55,594.67,571.66,593.41,5457.928117,3238789.124
1633996800,10/12/2021 0:00,BCH/USD,598.71,600.88,568.12,586.47,8277.143441,4854296.314
1633910400,10/11/2021 0:00,BCH/USD,584.96,618.44,578,601.44,5730.332827,3446451.375
1633824000,10/10/2021 0:00,BCH/USD,615.06,622.92,583.1,586.02,7157.968288,4194712.576
1633737600,10/9/2021 0:00,BCH/USD,596.6,624.17,592.35,615.2,5558.536177,3419611.456
1633651200,10/8/2021 0:00,BCH/USD,611.98,617.5,588.22,596.26,8822.29683,5260382.708
1633564800,10/7/2021 0:00,BCH/USD,617.08,635.73,598.1,612.09,9342.430269,5718408.143
1633478400,10/6/2021 0:00,BCH/USD,594.94,625.4,562.23,617.22,12219.44953,7542088.637
