unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1635638400,10/31/2021 0:00,XRP/USD,1.08486,1.09104,1.08422,1.09024,283594.8381,309186.4363
1635552000,10/30/2021 0:00,XRP/USD,1.08265,1.11696,1.062,1.08538,20286229.07,22018267.31
1635465600,10/29/2021 0:00,XRP/USD,1.06088,1.09107,1.05329,1.08159,30453720.77,32938439.85
1635379200,10/28/2021 0:00,XRP/USD,0.99817,1.08178,0.98168,1.05751,42082448.51,44502610.13
1635292800,10/27/2021 0:00,XRP/USD,1.1069,1.1249,0.96,0.99535,57906478.25,57637213.12
1635206400,10/26/2021 0:00,XRP/USD,1.09456,1.16,1.0902,1.10719,26831609.38,29707689.58
1635120000,10/25/2021 0:00,XRP/USD,1.08218,1.103,1.07837,1.09474,16133743.28,17662254.12
1635033600,10/24/2021 0:00,XRP/USD,1.09452,1.09601,1.0529,1.08192,14223630.43,15388830.23
1634947200,10/23/2021 0:00,XRP/USD,1.08898,1.10155,1.07558,1.09389,13166221.8,14402398.36
1634860800,10/22/2021 0:00,XRP/USD,1.08881,1.12733,1.071,1.08837,21393971.74,23284557.02
1634774400,10/21/2021 0:00,XRP/USD,1.14673,1.16792,1.085,1.08847,42879123.28,46672639.32
1634688000,10/20/2021 0:00,XRP/USD,1.09159,1.15305,1.08716,1.14587,24725722.91,28332464.11
1634601600,10/19/2021 0:00,XRP/USD,1.08333,1.10065,1.064,1.09114,16423311.44,17920132.05
1634515200,10/18/2021 0:00,XRP/USD,1.09513,1.10622,1.064,1.08361,27943231.11,30279564.66
1634428800,10/17/2021 0:00,XRP/USD,1.13477,1.14023,1.022,1.09328,19836782.37,21687157.43
1634342400,10/16/2021 0:00,XRP/USD,1.14115,1.186,1.12948,1.13357,18074944.25,20489214.56
1634256000,10/15/2021 0:00,XRP/USD,1.13353,1.16665,1.09197,1.14075,37048001.16,42262507.32
1634169600,10/14/2021 0:00,XRP/USD,1.1277,1.15779,1.11739,1.13417,17776021.25,20161030.02
1634083200,10/13/2021 0:00,XRP/USD,1.10155,1.13852,1.0748,1.12887,22631761.99,25548317.16
1633996800,10/12/2021 0:00,XRP/USD,1.13586,1.13586,1.065,1.10168,26359531.6,29039768.77
1633910400,10/11/2021 0:00,XRP/USD,1.13588,1.18202,1.1026,1.13586,25038440.77,28440163.34
1633824000,10/10/2021 0:00,XRP/USD,1.16107,1.23,1.12699,1.13588,32043619.63,36397706.67
1633737600,10/9/2021 0:00,XRP/USD,1.06386,1.20913,1.05747,1.15975,33218959.23,38525687.96
1633651200,10/8/2021 0:00,XRP/USD,1.06751,1.09225,1.04573,1.06249,19243347,20445863.76
1633564800,10/7/2021 0:00,XRP/USD,1.07797,1.09437,1.044,1.06728,19246192.52,20541076.35
1633478400,10/6/2021 0:00,XRP/USD,1.08343,1.10735,1.018,1.07721,30570496.14,32930844.15
1633392000,10/5/2021 0:00,XRP/USD,1.04372,1.08886,1.03817,1.08404,27810164.19,30147330.39
1633305600,10/4/2021 0:00,XRP/USD,1.05469,1.06078,1.00694,1.04225,26060505.8,27161562.17
1633219200,10/3/2021 0:00,XRP/USD,1.03703,1.08864,1.021,1.05469,15024451.96,15846139.24
1633132800,10/2/2021 0:00,XRP/USD,1.04166,1.0727,1.00829,1.03586,15410785.95,15963416.73
1633046400,10/1/2021 0:00,XRP/USD,0.95407,1.06802,0.9444,1.04213,31225371.49,32540896.39
1632960000,9/30/2021 0:00,XRP/USD,0.92702,0.96323,0.92129,0.95174,21319971.43,20291069.61
1632873600,9/29/2021 0:00,XRP/USD,0.89141,0.99362,0.88672,0.92744,27073707.43,25109239.22
1632787200,9/28/2021 0:00,XRP/USD,0.92209,0.94323,0.89,0.89249,22077234.59,19703711.1
1632700800,9/27/2021 0:00,XRP/USD,0.94319,0.98156,0.92013,0.92157,22274281.04,20527309.18
1632614400,9/26/2021 0:00,XRP/USD,0.93998,0.95731,0.89268,0.94472,14209519.77,13424017.52
1632528000,9/25/2021 0:00,XRP/USD,0.94462,0.9566,0.9168,0.94052,10958579.86,10306763.53
1632441600,9/24/2021 0:00,XRP/USD,1.00207,1.00366,0.886,0.94492,34335326.92,32444137.11
1632355200,9/23/2021 0:00,XRP/USD,1.00454,1.01783,0.9686,1.00138,18948622.05,18974771.15
1632268800,9/22/2021 0:00,XRP/USD,0.87348,1.00948,0.86811,1.00413,31072630.22,31200960.19
1632182400,9/21/2021 0:00,XRP/USD,0.9216,0.95923,0.8577,0.87138,33416420.95,29118400.89
1632096000,9/20/2021 0:00,XRP/USD,1.04839,1.04908,0.875,0.9195,55151433.56,50711743.16
1632009600,9/19/2021 0:00,XRP/USD,1.07491,1.0837,1.03856,1.04839,6573652.832,6891751.893
1631923200,9/18/2021 0:00,XRP/USD,1.06638,1.09468,1.05713,1.07558,7560689.409,8132126.315
1631836800,9/17/2021 0:00,XRP/USD,1.08892,1.10277,1.05148,1.06619,18296109.37,19507128.85
1631750400,9/16/2021 0:00,XRP/USD,1.1209,1.13012,1.06681,1.09161,13461772.59,14695005.58
1631664000,9/15/2021 0:00,XRP/USD,1.09546,1.13048,1.07952,1.12193,17623478.99,19772309.78
1631577600,9/14/2021 0:00,XRP/USD,1.06517,1.09816,1.05758,1.09621,17966670.43,19695243.79
1631491200,9/13/2021 0:00,XRP/USD,1.11854,1.12594,1.02355,1.06449,28345234.09,30173218.24
1631404800,9/12/2021 0:00,XRP/USD,1.07833,1.1266,1.058,1.11829,14038400.12,15699002.47
1631318400,9/11/2021 0:00,XRP/USD,1.05563,1.11273,1.052,1.07825,14508949.61,15644274.92
1631232000,9/10/2021 0:00,XRP/USD,1.08726,1.244,1.02978,1.05553,44316346.77,46777233.51
1631145600,9/9/2021 0:00,XRP/USD,1.10047,1.138,1.07304,1.08703,24200643.45,26306825.45
1631059200,9/8/2021 0:00,XRP/USD,1.13079,1.148,1.01488,1.09921,35315513.01,38819165.06
1630972800,9/7/2021 0:00,XRP/USD,1.39086,1.39322,0.95003,1.12807,93123083.04,105049356.3
