unix,date,symbol,open,high,low,close,Volume ZRX,Volume USDT
1635638400,10/31/2021 0:00,ZRX/USDT,1.15207747,1.19372417,1.14085297,1.15907304,14376.85297,12403.62419
1635552000,10/30/2021 0:00,ZRX/USDT,1.04086715,1.34647031,1.02224207,1.15365333,243974.8285,214498.0729
1635465600,10/29/2021 0:00,ZRX/USDT,0.97620083,1.08104607,0.97292905,1.05150457,14080.27996,13690.27879
1635379200,10/28/2021 0:00,ZRX/USDT,0.93596876,0.98724913,0.92082604,0.97359694,19895.996,20854.47912
1635292800,10/27/2021 0:00,ZRX/USDT,1.06476201,1.07349117,0.9297021,0.9297021,41772.61213,43475.3188
1635207142,10/26/2021 0:12,ZRX/USDT,1.06852602,1.06852602,1.06852602,1.06852602,0,0
1635206400,10/26/2021 0:00,ZRX/USDT,1.01015787,1.09712623,1.00823211,1.06852602,27546.683,25644.30718
1635120833,10/25/2021 0:13,ZRX/USDT,1.01,1.01,1.01,1.01,0,0
1635120000,10/25/2021 0:00,ZRX/USDT,0.99575425,1.01917213,0.99258505,1.01,2782.581445,2758.426064
1635034570,10/24/2021 0:16,ZRX/USDT,0.99355956,0.99355956,0.99355956,0.99355956,0,0
1635033600,10/24/2021 0:00,ZRX/USDT,1.01244585,1.02013002,0.97493879,0.99355956,3607.685434,3646.463612
1634948054,10/23/2021 0:14,ZRX/USDT,1.00993695,1.00993695,1.00993695,1.00993695,0,0
1634947200,10/23/2021 0:00,ZRX/USDT,1.00461239,1.02137955,0.99,1.00993695,3484.639239,3472.522884
1634861972,10/22/2021 0:19,ZRX/USDT,1.00222615,1.00222615,1.00222615,1.00222615,0,0
1634860800,10/22/2021 0:00,ZRX/USDT,1.00619335,1.02596994,0.98741493,1.00222615,9600.781871,9494.369039
1634775275,10/21/2021 0:14,ZRX/USDT,1.01576928,1.01576928,1.01576928,1.01576928,0,0
1634774400,10/21/2021 0:00,ZRX/USDT,1.00951,1.08873134,0.99935965,1.01576928,38535.01709,37026.91068
